VOLE_ID,TRT,SEX,NULL_CHECK,SP_INDEX,NO_TRIAL2_OBJ1_TOT_DUR,NO_TRIAL2_OBJ2_TOT_DUR,NO_TRIAL2_TOT_DIST,NO_TRIAL3_OBJ1_TOT_DUR,NO_TRIAL3_OBJ2_TOT_DUR,NO_TRIAL3_TOT_DIST,NS_BOUTS_EMPTY,NS_BOUTS_STRANGER,NS_DUR_EMPTY,NS_DUR_STRANGER,NS_INDEX,NS_LAT_EMPTY,NS_LAT_STRANGER,NS_PCT_WSTRANGER,NS_TOT_DIST,OF_BOUTS_CENTER,OF_DUR_CENTER,OF_TOT_DIST,PP_INDEX,PP_PARTNER_LAT,PP_PARTNER_TOT_BOUTS,PP_PARTNER_TOT_DUR,PP_STRANGER_LAT,PP_STRANGER_TOT_BOUTS,PP_STRANGER_TOT_DUR,PP_TOT_DIST,SP_BOUTS_CAGEMATE,SP_BOUTS_STRANGER,SP_DUR_CAGEMATE,SP_DUR_STRANGER,SP_LAT_CAGEMATE,SP_LAT_STRANGER,SP_TOT_DIST,OF_droppings,OF_Dur_Walls,OF_Dur_Corner,OF_Lat,OF_Cent_Dur_5min,NS_droppings,NS_Dur_NoCup,SP_droppings,SP_Dur_Neutral,PP_droppings,PP_Partner_Dur_Fin,PP_Duration_Neutral,NS_BOUTS_STRANGER,SP_BOUTS_CAGEMATE,SP_BOUTS_STRANGER,PP_BOUTS_PARTNER,PP_BOUTS_STRANGER
238,CTRL,M,Complete Data,0.1677,16.32,99.5,7584.09,2.67,102.8,6060,11,8,226.36,268.97,0.086,234.13,8.11,0.543,9433.13,15,36.54,62424.03,0.3688,0,22,303.47,20.02,15,139.94,17527.88,13,14,188.46,264.4,44.18,2.5,10550.93,7,2292.43,1296.72,2.84,0.67,1,104.67,20,43.78,13,42.68,48.01,8,13,14,22,15
95,MID,M,Complete Data,0.1886,3.5,3.47,4374.8,0,6.81,4953.21,26,40,108.17,92.99,-0.0755,44.01,3.64,0.4623,8783.45,15,44.28,71216.61,0.5452,0,12,286.85,16.88,6,84.42,7223.34,18,28,77.81,113.98,10.41,1.07,10313.33,13,1498.21,1282.54,231.93,7.47,4,398.84,16,105.51,0,17.02,37.77,40,18,28,12,6
192,5MT,M,Complete Data,0.2309,5.04,31.23,6812.07,5.71,26.96,9197.04,19,12,350.05,55.56,-0.726,11.38,5.11,0.137,9828.43,19,35,64508.23,-0.7427,34.6,8,65.7,0.43,13,444.98,16155.33,13,16,167.97,268.84,7.34,58.43,12605.23,0,1490.19,1101.24,2.07,10.54,0,194.39,1,67.6,0,9.04,18.42,12,13,16,8,13
88,LOW,M,Incomplete Data,0.2417,,,,,,,15,0,51.72,0,-1,190.96,600,0,2608.7,5,17.32,30262.29,,,,,,,,,12,13,41.14,67.37,13.68,169.97,4202.61,12,1909.78,1584.75,277.54,2.84,1,548.28,8,107.21,0,0,0,0,12,13,0,0
7,CTRL,F,Incomplete Data,0.2466,,,,,,,17,18,157.52,209.21,0.1409,82.72,7.91,0.5705,10094,15,67.97,58493.96,,,,,,,,,18,23,125.56,207.74,1.37,12.51,8543.71,13,936.33,1289.56,366.07,3.14,6,233.27,0,55.12,0,0,0,18,18,23,0,0
247,CTRL,F,Complete Data,0.2532,64.7,49.52,14031.23,50.28,30.63,9537.26,18,20,142.24,276.54,0.3207,5.51,57.99,0.6603,12475.71,12,19.42,59597.55,0.5735,0.47,25,307.61,54.25,12,83.38,16412.95,11,19,161.66,271.3,29.06,0.1,9627.96,8,1727.76,1333.07,571.94,10.98,0,181.22,1,41.98,0,36.44,92.43,20,11,19,25,12
106,LOW,F,Complete Data,0.2684,0.73,4.94,4793.72,11.08,45.98,3962.32,35,26,117.42,109.11,-0.0367,8.68,74.44,0.4817,7762.89,1,1.74,20048.77,0.491,8.68,16,324.72,26.09,12,110.84,14211.79,9,33,49.58,85.95,9.94,52.15,6387.3,3,1197.7,1243.87,27.86,0,0,373.47,2,93.66,0,35,86.32,26,9,33,16,12
242,LOW,F,Complete Data,0.2814,23.49,12.88,5451.77,11.24,25.79,6568.12,9,9,162,338.57,0.3527,240.37,0,0.6764,5598.61,5,7.47,78511.71,0.1772,63.96,14,226.89,3.7,12,158.59,9323.79,17,18,128.46,229.06,0.27,27.19,10817.87,10,1675.04,1512.59,404.44,0.83,5,99.43,1,91.56,2,34.17,47.38,9,17,18,14,12
92,MID,F,Complete Data,0.3763,15.98,21.25,9881.94,20.35,25.73,10889.56,10,20,37.7,61.39,0.2391,232.73,4.04,0.6195,6095.55,1,0.6,72732.17,0.2103,1.4,23,244.64,13.35,21,159.63,21055.84,22,39,96.46,212.85,34.07,4.04,14555.65,8,1702.7,1557.96,593.76,0,10,500.91,2,78.18,6,25.53,88.32,20,22,39,23,21
100,LOW,F,Complete Data,0.4097,21.49,55.02,8944.63,12.35,40.31,5641.69,13,34,49.62,133.53,0.4581,51.25,14.98,0.7291,11403.55,13,21.05,89651.41,-0.1069,15.62,27,150.65,2.5,33,186.72,24046.73,17,31,71.67,171.14,37.84,202.94,6357.65,16,1224.63,1385.19,190.72,4.4,4,416.85,14,75.11,0,2.24,89.52,34,17,31,27,33
